Build Type,Date, Time, Application,Environment,Release,Publish Type,App Job Name, App Job Build Number,Spinner Job Name, Spinner Job Build Number,App Job Duration,Spinner Job Duration,Total Execution,Total Time (In mins.secs)
,7/21/2016,7:19:45,WINDPLM,DEV4,wind_dev_4_4,all,PLM-WINDPLM-APP,442,PLM-WINDPLM-DB,386,16 mins 56 secs,0 mins 47 secs,17 mins 43 secs,17.43
,7/21/2016,4:42:18,ENERGYPLM,QA1,Release_6_0_90,all,PLM-ENERGYPLM-APP,285,PLM-ENERGYPLM-DB,214,15 mins 29 secs,0 mins 29 secs,15 mins 58 secs,15.58
,7/21/2016,8:55:11,WINDPLM,DEV3,wind_dev_4_3_IB,all,PLM-WINDPLM-APP,443,PLM-WINDPLM-DB,387,16 mins 56 secs,0 mins 36 secs,17 mins 33 secs,17.33
,7/21/2016,9:27:34,WINDPLM,QA2,Release_4_4,all,PLM-WINDPLM-APP,444,PLM-WINDPLM-DB,388,17 mins 23 secs,0 mins 39 secs,18 mins 2 secs,18.2
,7/21/2016,11:00:55,WINDPLM,QA3,Release_4_3,all,PLM-WINDPLM-APP,445,PLM-WINDPLM-DB,389,18 mins 37 secs,0 mins 47 secs,19 mins 25 secs,19.25
,7/21/2016,13:55:33,WINDPLM,DEV4,wind_dev_4_4,all,PLM-WINDPLM-APP,446,PLM-WINDPLM-DB,390,17 mins 31 secs,0 mins 44 secs,18 mins 15 secs,18.15
,7/21/2016,16:25:06,ENERGYPLM,QA1,Release_6_0_90,all,PLM-ENERGYPLM-APP,286,PLM-ENERGYPLM-DB,215,14 mins 6 secs,0 mins 32 secs,14 mins 39 secs,14.39
,7/22/2016,0:22:51,WINDPLM,DEV3,wind_dev_4_3_IB,db,PLM-WINDPLM-APP,447,PLM-WINDPLM-DB,391,35 mins 7 secs,0 mins 56 secs,36 mins 4 secs,36.4
,7/22/2016,3:19:45,WINDPLM,DEV4,wind_dev_4_4,db,PLM-WINDPLM-APP,448,PLM-WINDPLM-DB,392,27 mins 51 secs,0 mins 59 secs,28 mins 51 secs,28.51
,7/22/2016,4:14:59,WINDPLM,DEV3,wind_dev_4_3_IB,all,PLM-WINDPLM-APP,449,PLM-WINDPLM-DB,393,33 mins 40 secs,1 mins 0 secs,34 mins 40 secs,34.4
,7/22/2016,4:45:00,ENERGYPLM,QA1,Release_6_0_90,all,PLM-ENERGYPLM-APP,287,PLM-ENERGYPLM-DB,216,34 mins 2 secs,0 mins 38 secs,34 mins 41 secs,34.41
,7/22/2016,6:57:34,WINDPLM,DEV4,wind_dev_4_4,all,PLM-WINDPLM-APP,450,PLM-WINDPLM-DB,394,19 mins 41 secs,0 mins 46 secs,20 mins 27 secs,20.27
,7/22/2016,6:57:38,ENERGYPLM,QA1,Release_6_0_90,db,PLM-ENERGYPLM-APP,288,PLM-ENERGYPLM-DB,217,12 mins 7 secs,0 mins 36 secs,12 mins 44 secs,12.44
